dataset_index,distortion_type,severity_level,parameter_value,clean_keypoints,distorted_keypoints,good_matches,match_accuracy
664,low_light,severe,0.15,1197,0,0,0.0
691,gaussian_noise,mild,10.0,1195,1223,866,0.7246861924686192
691,gaussian_noise,medium,25.0,1195,1287,573,0.4794979079497908
691,gaussian_noise,severe,50.0,1195,1370,300,0.2510460251046025
691,jpeg_compression,mild,50.0,1195,1200,843,0.705439330543933
691,jpeg_compression,medium,20.0,1195,1191,670,0.5625524769101595
691,jpeg_compression,severe,5.0,1195,1286,291,0.24351464435146444
691,low_light,mild,0.6,1195,553,483,0.8734177215189873
691,low_light,medium,0.35,1195,143,135,0.9440559440559441
691,low_light,severe,0.15,1195,4,4,1.0
699,gaussian_noise,mild,10.0,1500,1500,1352,0.9013333333333333
699,gaussian_noise,medium,25.0,1500,1500,1194,0.796
699,gaussian_noise,severe,50.0,1500,1494,930,0.6224899598393574
699,jpeg_compression,mild,50.0,1500,1500,1268,0.8453333333333334
699,jpeg_compression,medium,20.0,1500,1500,1116,0.744
699,jpeg_compression,severe,5.0,1500,1500,826,0.5506666666666666
699,low_light,mild,0.6,1500,1471,1386,0.9422161794697484
699,low_light,medium,0.35,1500,1330,1153,0.8669172932330828
699,low_light,severe,0.15,1500,362,293,0.8093922651933702
704,gaussian_noise,mild,10.0,1489,1488,1250,0.8400537634408602
704,gaussian_noise,medium,25.0,1489,1490,998,0.6702484889187375
704,gaussian_noise,severe,50.0,1489,1494,703,0.47212894560107455
704,jpeg_compression,mild,50.0,1489,1488,1228,0.8252688172043011
704,jpeg_compression,medium,20.0,1489,1496,1079,0.7246474143720618
704,jpeg_compression,severe,5.0,1489,1494,592,0.39758226997985224
704,low_light,mild,0.6,1489,1431,1287,0.89937106918239
704,low_light,medium,0.35,1489,1060,842,0.7943396226415095
704,low_light,severe,0.15,1489,62,54,0.8709677419354839
705,gaussian_noise,mild,10.0,1369,1377,1058,0.7728268809349891
705,gaussian_noise,medium,25.0,1369,1394,712,0.5200876552227903
705,gaussian_noise,severe,50.0,1369,1432,386,0.28195763330898466
705,jpeg_compression,mild,50.0,1369,1368,964,0.7046783625730995
705,jpeg_compression,medium,20.0,1369,1383,785,0.5734112490869248
705,jpeg_compression,severe,5.0,1369,1416,369,0.2695398100803506
705,low_light,mild,0.6,1369,948,838,0.8839662447257384
705,low_light,medium,0.35,1369,323,249,0.7708978328173375
705,low_light,severe,0.15,1369,4,4,1.0
711,gaussian_noise,mild,10.0,1055,1115,764,0.7241706161137441
711,gaussian_noise,medium,25.0,1055,1255,473,0.4483412322274882
711,gaussian_noise,severe,50.0,1055,1367,230,0.21800947867298578
711,jpeg_compression,mild,50.0,1055,1054,674,0.6394686907020873
711,jpeg_compression,medium,20.0,1055,1058,561,0.5317535545023697
711,jpeg_compression,severe,5.0,1055,1195,193,0.18293838862559242
711,low_light,mild,0.6,1055,390,355,0.9102564102564102
711,low_light,medium,0.35,1055,44,44,1.0
711,low_light,severe,0.15,1055,0,0,0.0
715,gaussian_noise,mild,10.0,1492,1484,1238,0.8342318059299192
715,gaussian_noise,medium,25.0,1492,1491,1014,0.6800804828973843
715,gaussian_noise,severe,50.0,1492,1488,690,0.4637096774193548
715,jpeg_compression,mild,50.0,1492,1490,1242,0.8335570469798658
715,jpeg_compression,medium,20.0,1492,1495,1098,0.7359249329758714
715,jpeg_compression,severe,5.0,1492,1498,698,0.467828418230563
715,low_light,mild,0.6,1492,1430,1286,0.8993006993006993
715,low_light,medium,0.35,1492,860,661,0.7686046511627908
715,low_light,severe,0.15,1492,15,15,1.0
724,gaussian_noise,mild,10.0,1500,1500,1312,0.8746666666666667
724,gaussian_noise,medium,25.0,1500,1500,1084,0.7226666666666667
724,gaussian_noise,severe,50.0,1500,1500,733,0.4886666666666667
724,jpeg_compression,mild,50.0,1500,1500,1215,0.81
724,jpeg_compression,medium,20.0,1500,1500,1074,0.716
724,jpeg_compression,severe,5.0,1500,1500,672,0.448
724,low_light,mild,0.6,1500,1447,1325,0.9156876295784382
724,low_light,medium,0.35,1500,995,856,0.8603015075376884
724,low_light,severe,0.15,1500,32,32,1.0
731,gaussian_noise,mild,10.0,1312,1329,974,0.7423780487804879
731,gaussian_noise,medium,25.0,1312,1351,693,0.5282012195121951
731,gaussian_noise,severe,50.0,1312,1395,403,0.3071646341463415
731,jpeg_compression,mild,50.0,1312,1301,932,0.7163720215219063
731,jpeg_compression,medium,20.0,1312,1312,757,0.5769817073170732
731,jpeg_compression,severe,5.0,1312,1356,352,0.2682926829268293
731,low_light,mild,0.6,1312,761,609,0.8002628120893561
731,low_light,medium,0.35,1312,146,137,0.9383561643835616
731,low_light,severe,0.15,1312,0,0,0.0
732,gaussian_noise,mild,10.0,1204,1229,957,0.7948504983388704
732,gaussian_noise,medium,25.0,1204,1263,609,0.5058139534883721
732,gaussian_noise,severe,50.0,1204,1347,282,0.23421926910299004
732,jpeg_compression,mild,50.0,1204,1193,872,0.7309304274937133
732,jpeg_compression,medium,20.0,1204,1193,671,0.5624476110645432
732,jpeg_compression,severe,5.0,1204,1238,249,0.20681063122923588
732,low_light,mild,0.6,1204,899,790,0.8787541713014461
732,low_light,medium,0.35,1204,430,374,0.8697674418604651
732,low_light,severe,0.15,1204,39,39,1.0
761,gaussian_noise,mild,10.0,1465,1466,1266,0.8641638225255973
761,gaussian_noise,medium,25.0,1465,1462,1036,0.7086183310533516
761,gaussian_noise,severe,50.0,1465,1457,706,0.48455730954015097
761,jpeg_compression,mild,50.0,1465,1468,1170,0.7986348122866894
761,jpeg_compression,medium,20.0,1465,1466,1050,0.7167235494880546
761,jpeg_compression,severe,5.0,1465,1471,664,0.45324232081911264
761,low_light,mild,0.6,1465,1332,1209,0.9076576576576577
761,low_light,medium,0.35,1465,929,756,0.813778256189451
761,low_light,severe,0.15,1465,80,77,0.9625
800,gaussian_noise,mild,10.0,1500,1500,1297,0.8646666666666667
800,gaussian_noise,medium,25.0,1500,1500,1077,0.718
800,gaussian_noise,severe,50.0,1500,1500,754,0.5026666666666667
800,jpeg_compression,mild,50.0,1500,1500,1231,0.8206666666666667
800,jpeg_compression,medium,20.0,1500,1500,1105,0.7366666666666667
800,jpeg_compression,severe,5.0,1500,1500,708,0.472
800,low_light,mild,0.6,1500,1486,1349,0.9078061911170928
800,low_light,medium,0.35,1500,1108,887,0.8005415162454874
800,low_light,severe,0.15,1500,26,22,0.8461538461538461
837,gaussian_noise,mild,10.0,1091,1170,781,0.7158570119156737
837,gaussian_noise,medium,25.0,1091,1273,539,0.4940421631530706
837,gaussian_noise,severe,50.0,1091,1340,304,0.27864344637946836
837,jpeg_compression,mild,50.0,1091,1083,796,0.7349953831948292
837,jpeg_compression,medium,20.0,1091,1123,663,0.6076993583868011
837,jpeg_compression,severe,5.0,1091,1206,277,0.2538955087076077
837,low_light,mild,0.6,1091,485,466,0.9608247422680413
837,low_light,medium,0.35,1091,165,160,0.9696969696969697
837,low_light,severe,0.15,1091,1,0,0.0
859,gaussian_noise,mild,10.0,1092,1086,851,0.783609576427256
859,gaussian_noise,medium,25.0,1092,1183,589,0.5393772893772893
859,gaussian_noise,severe,50.0,1092,1306,289,0.26465201465201466
859,jpeg_compression,mild,50.0,1092,1090,798,0.7321100917431193
859,jpeg_compression,medium,20.0,1092,1079,625,0.5792400370713624
859,jpeg_compression,severe,5.0,1092,1153,258,0.23626373626373626
859,low_light,mild,0.6,1092,747,666,0.891566265060241
859,low_light,medium,0.35,1092,279,267,0.956989247311828
859,low_light,severe,0.15,1092,5,5,1.0
860,gaussian_noise,mild,10.0,1469,1470,1294,0.8808713410483322
860,gaussian_noise,medium,25.0,1469,1469,1071,0.729067392784207
860,gaussian_noise,severe,50.0,1469,1471,758,0.5159972770592239
860,jpeg_compression,mild,50.0,1469,1468,1197,0.8153950953678474
860,jpeg_compression,medium,20.0,1469,1471,1043,0.7100068073519401
860,jpeg_compression,severe,5.0,1469,1480,680,0.4628999319264806
860,low_light,mild,0.6,1469,1376,1247,0.90625
860,low_light,medium,0.35,1469,1022,868,0.8493150684931506
860,low_light,severe,0.15,1469,130,112,0.8615384615384616
903,gaussian_noise,mild,10.0,1500,1500,1355,0.9033333333333333
903,gaussian_noise,medium,25.0,1500,1500,1185,0.79
903,gaussian_noise,severe,50.0,1500,1500,908,0.6053333333333333
903,jpeg_compression,mild,50.0,1500,1500,1282,0.8546666666666667
903,jpeg_compression,medium,20.0,1500,1500,1152,0.768
903,jpeg_compression,severe,5.0,1500,1500,858,0.572
903,low_light,mild,0.6,1500,1485,1390,0.936026936026936
903,low_light,medium,0.35,1500,1300,1052,0.8092307692307692
903,low_light,severe,0.15,1500,241,228,0.946058091286307
908,gaussian_noise,mild,10.0,1487,1487,1265,0.8507061197041023
908,gaussian_noise,medium,25.0,1487,1492,952,0.6402151983860122
908,gaussian_noise,severe,50.0,1487,1489,599,0.40282447881640887
908,jpeg_compression,mild,50.0,1487,1489,1221,0.8211163416274377
908,jpeg_compression,medium,20.0,1487,1482,1047,0.7064777327935222
908,jpeg_compression,severe,5.0,1487,1491,598,0.4021519838601211
908,low_light,mild,0.6,1487,1354,1169,0.8633677991137371
908,low_light,medium,0.35,1487,850,689,0.8105882352941176
908,low_light,severe,0.15,1487,75,61,0.8133333333333334
926,gaussian_noise,mild,10.0,1398,1399,1186,0.8483547925608012
926,gaussian_noise,medium,25.0,1398,1402,904,0.6466380543633763
926,gaussian_noise,severe,50.0,1398,1422,539,0.3855507868383405
926,jpeg_compression,mild,50.0,1398,1392,1084,0.7787356321839081
926,jpeg_compression,medium,20.0,1398,1396,896,0.6418338108882522
926,jpeg_compression,severe,5.0,1398,1413,401,0.28683834048640916
926,low_light,mild,0.6,1398,1200,1044,0.87
926,low_light,medium,0.35,1398,712,589,0.827247191011236
926,low_light,severe,0.15,1398,97,94,0.9690721649484536
937,gaussian_noise,mild,10.0,1375,1392,1053,0.7658181818181818
937,gaussian_noise,medium,25.0,1375,1419,779,0.5665454545454546
937,gaussian_noise,severe,50.0,1375,1431,486,0.35345454545454547
937,jpeg_compression,mild,50.0,1375,1385,1041,0.757090909090909
937,jpeg_compression,medium,20.0,1375,1378,876,0.637090909090909
937,jpeg_compression,severe,5.0,1375,1426,445,0.3236363636363636
937,low_light,mild,0.6,1375,853,707,0.8288393903868698
937,low_light,medium,0.35,1375,271,253,0.933579335793358
937,low_light,severe,0.15,1375,7,7,1.0
949,gaussian_noise,mild,10.0,1452,1446,1287,0.8900414937759336
949,gaussian_noise,medium,25.0,1452,1445,1077,0.7453287197231834
949,gaussian_noise,severe,50.0,1452,1436,799,0.5564066852367688
949,jpeg_compression,mild,50.0,1452,1448,1189,0.8211325966850829
949,jpeg_compression,medium,20.0,1452,1451,1063,0.7325982081323226
949,jpeg_compression,severe,5.0,1452,1440,724,0.5027777777777778
949,low_light,mild,0.6,1452,1325,1179,0.889811320754717
949,low_light,medium,0.35,1452,919,749,0.8150163220892275
949,low_light,severe,0.15,1452,104,100,0.9615384615384616
966,gaussian_noise,mild,10.0,467,575,349,0.7473233404710921
966,gaussian_noise,medium,25.0,467,1021,230,0.4925053533190578
966,gaussian_noise,severe,50.0,467,1273,128,0.2740899357601713
966,jpeg_compression,mild,50.0,467,468,358,0.7665952890792291
966,jpeg_compression,medium,20.0,467,513,274,0.5867237687366167
966,jpeg_compression,severe,5.0,467,725,95,0.20342612419700215
966,low_light,mild,0.6,467,310,296,0.9548387096774194
966,low_light,medium,0.35,467,172,159,0.9244186046511628
966,low_light,severe,0.15,467,1,0,0.0
979,gaussian_noise,mild,10.0,1341,1359,1026,0.7651006711409396
979,gaussian_noise,medium,25.0,1341,1391,701,0.522744220730798
979,gaussian_noise,severe,50.0,1341,1428,424,0.3161819537658464
979,jpeg_compression,mild,50.0,1341,1339,987,0.7371172516803585
979,jpeg_compression,medium,20.0,1341,1344,823,0.6137211036539896
979,jpeg_compression,severe,5.0,1341,1395,362,0.26994780014914244
979,low_light,mild,0.6,1341,844,720,0.8530805687203792
979,low_light,medium,0.35,1341,387,355,0.917312661498708
979,low_light,severe,0.15,1341,22,21,0.9545454545454546
1039,gaussian_noise,mild,10.0,1406,1406,1090,0.7752489331436699
1039,gaussian_noise,medium,25.0,1406,1423,779,0.5540540540540541
1039,gaussian_noise,severe,50.0,1406,1424,415,0.2951635846372688
1039,jpeg_compression,mild,50.0,1406,1408,1028,0.7311522048364154
1039,jpeg_compression,medium,20.0,1406,1409,829,0.5896159317211949
1039,jpeg_compression,severe,5.0,1406,1426,340,0.24182076813655762
1039,low_light,mild,0.6,1406,927,796,0.8586839266450917
1039,low_light,medium,0.35,1406,263,226,0.8593155893536122
1039,low_light,severe,0.15,1406,10,10,1.0
1043,gaussian_noise,mild,10.0,1354,1357,970,0.7163958641063516
1043,gaussian_noise,medium,25.0,1354,1387,567,0.41875923190546527
1043,gaussian_noise,severe,50.0,1354,1410,286,0.21122599704579026
1043,jpeg_compression,mild,50.0,1354,1357,831,0.6137370753323486
1043,jpeg_compression,medium,20.0,1354,1366,578,0.42688330871491875
1043,jpeg_compression,severe,5.0,1354,1389,197,0.14549483013293943
1043,low_light,mild,0.6,1354,1101,983,0.8928247048138056
1043,low_light,medium,0.35,1354,683,554,0.8111273792093704
1043,low_light,severe,0.15,1354,2,2,1.0
1048,gaussian_noise,mild,10.0,1461,1457,1211,0.8311599176389842
1048,gaussian_noise,medium,25.0,1461,1454,944,0.6492434662998624
1048,gaussian_noise,severe,50.0,1461,1459,621,0.42563399588759426
1048,jpeg_compression,mild,50.0,1461,1457,1173,0.8050789293067948
1048,jpeg_compression,medium,20.0,1461,1460,1000,0.684931506849315
1048,jpeg_compression,severe,5.0,1461,1478,544,0.3723477070499658
1048,low_light,mild,0.6,1461,1254,1076,0.8580542264752791
1048,low_light,medium,0.35,1461,617,544,0.8816855753646677
1048,low_light,severe,0.15,1461,55,49,0.8909090909090909
1059,gaussian_noise,mild,10.0,1470,1475,1290,0.8775510204081632
1059,gaussian_noise,medium,25.0,1470,1478,1075,0.7312925170068028
1059,gaussian_noise,severe,50.0,1470,1481,735,0.5
1059,jpeg_compression,mild,50.0,1470,1475,1242,0.8448979591836735
1059,jpeg_compression,medium,20.0,1470,1474,1061,0.7217687074829932
1059,jpeg_compression,severe,5.0,1470,1476,655,0.445578231292517
1059,low_light,mild,0.6,1470,1367,1232,0.9012435991221653
1059,low_light,medium,0.35,1470,963,761,0.7902388369678089
1059,low_light,severe,0.15,1470,75,67,0.8933333333333333
1085,gaussian_noise,mild,10.0,1469,1469,1269,0.863852961198094
1085,gaussian_noise,medium,25.0,1469,1471,1036,0.7052416609938734
1085,gaussian_noise,severe,50.0,1469,1470,683,0.4649421375085092
1085,jpeg_compression,mild,50.0,1469,1470,1192,0.8114363512593601
1085,jpeg_compression,medium,20.0,1469,1474,1051,0.7154526889040164
1085,jpeg_compression,severe,5.0,1469,1482,608,0.41388699795779443
1085,low_light,mild,0.6,1469,1327,1208,0.9103240391861341
1085,low_light,medium,0.35,1469,915,783,0.8557377049180328
1085,low_light,severe,0.15,1469,56,51,0.9107142857142857
1103,gaussian_noise,mild,10.0,1406,1406,1120,0.7965860597439545
1103,gaussian_noise,medium,25.0,1406,1422,835,0.5938833570412517
1103,gaussian_noise,severe,50.0,1406,1432,527,0.3748221906116643
1103,jpeg_compression,mild,50.0,1406,1413,1130,0.8036984352773826
1103,jpeg_compression,medium,20.0,1406,1404,1021,0.7272079772079773
1103,jpeg_compression,severe,5.0,1406,1433,460,0.32716927453769556
1103,low_light,mild,0.6,1406,1088,923,0.8483455882352942
1103,low_light,medium,0.35,1406,441,417,0.9455782312925171
1103,low_light,severe,0.15,1406,44,43,0.9772727272727273
1122,gaussian_noise,mild,10.0,1025,1047,774,0.7551219512195122
1122,gaussian_noise,medium,25.0,1025,1149,455,0.44390243902439025
1122,gaussian_noise,severe,50.0,1025,1279,188,0.18341463414634146
1122,jpeg_compression,mild,50.0,1025,1011,675,0.6676557863501483
1122,jpeg_compression,medium,20.0,1025,1006,554,0.5506958250497018
1122,jpeg_compression,severe,5.0,1025,1087,151,0.1473170731707317
1122,low_light,mild,0.6,1025,775,685,0.8838709677419355
1122,low_light,medium,0.35,1025,412,353,0.8567961165048543
1122,low_light,severe,0.15,1025,27,25,0.9259259259259259
1123,gaussian_noise,mild,10.0,1493,1497,1265,0.8472873409243135
1123,gaussian_noise,medium,25.0,1493,1496,1011,0.6771600803750837
1123,gaussian_noise,severe,50.0,1493,1490,676,0.45369127516778524
1123,jpeg_compression,mild,50.0,1493,1490,1234,0.8281879194630872
1123,jpeg_compression,medium,20.0,1493,1490,1102,0.7395973154362416
1123,jpeg_compression,severe,5.0,1493,1498,622,0.41661085063630277
1123,low_light,mild,0.6,1493,1398,1230,0.8798283261802575
1123,low_light,medium,0.35,1493,803,622,0.7745952677459527
1123,low_light,severe,0.15,1493,59,59,1.0
1128,gaussian_noise,mild,10.0,675,788,448,0.6637037037037037
1128,gaussian_noise,medium,25.0,675,1058,241,0.35703703703703704
1128,gaussian_noise,severe,50.0,675,1256,98,0.1451851851851852
1128,jpeg_compression,mild,50.0,675,679,438,0.6488888888888888
1128,jpeg_compression,medium,20.0,675,699,313,0.46370370370370373
1128,jpeg_compression,severe,5.0,675,809,86,0.1274074074074074
1128,low_light,mild,0.6,675,302,292,0.9668874172185431
1128,low_light,medium,0.35,675,78,74,0.9487179487179487
1128,low_light,severe,0.15,675,0,0,0.0
1134,gaussian_noise,mild,10.0,1364,1378,1086,0.7961876832844574
1134,gaussian_noise,medium,25.0,1364,1400,767,0.5623167155425219
1134,gaussian_noise,severe,50.0,1364,1413,440,0.3225806451612903
1134,jpeg_compression,mild,50.0,1364,1366,1035,0.7587976539589443
1134,jpeg_compression,medium,20.0,1364,1370,868,0.6363636363636364
1134,jpeg_compression,severe,5.0,1364,1427,412,0.3020527859237537
1134,low_light,mild,0.6,1364,1055,916,0.8682464454976303
1134,low_light,medium,0.35,1364,455,376,0.8263736263736263
1134,low_light,severe,0.15,1364,32,32,1.0
1143,gaussian_noise,mild,10.0,1120,1155,779,0.6955357142857143
1143,gaussian_noise,medium,25.0,1120,1219,438,0.39107142857142857
1143,gaussian_noise,severe,50.0,1120,1333,205,0.18303571428571427
1143,jpeg_compression,mild,50.0,1120,1148,737,0.6580357142857143
1143,jpeg_compression,medium,20.0,1120,1141,518,0.4625
1143,jpeg_compression,severe,5.0,1120,1260,161,0.14375
1143,low_light,mild,0.6,1120,697,596,0.8550932568149211
1143,low_light,medium,0.35,1120,222,199,0.8963963963963963
1143,low_light,severe,0.15,1120,6,6,1.0
1152,gaussian_noise,mild,10.0,1500,1500,1319,0.8793333333333333
1152,gaussian_noise,medium,25.0,1500,1500,1080,0.72
1152,gaussian_noise,severe,50.0,1500,1500,761,0.5073333333333333
1152,jpeg_compression,mild,50.0,1500,1500,1194,0.796
1152,jpeg_compression,medium,20.0,1500,1500,999,0.666
1152,jpeg_compression,severe,5.0,1500,1500,609,0.406
1152,low_light,mild,0.6,1500,1451,1342,0.9248793935217091
1152,low_light,medium,0.35,1500,1144,1002,0.8758741258741258
1152,low_light,severe,0.15,1500,382,214,0.5602094240837696
1161,gaussian_noise,mild,10.0,1500,1500,1305,0.87
1161,gaussian_noise,medium,25.0,1500,1500,1088,0.7253333333333334
1161,gaussian_noise,severe,50.0,1500,1500,788,0.5253333333333333
1161,jpeg_compression,mild,50.0,1500,1500,1221,0.814
1161,jpeg_compression,medium,20.0,1500,1500,1099,0.7326666666666667
1161,jpeg_compression,severe,5.0,1500,1500,726,0.484
1161,low_light,mild,0.6,1500,1460,1328,0.9095890410958904
1161,low_light,medium,0.35,1500,1081,919,0.8501387604070305
1161,low_light,severe,0.15,1500,58,55,0.9482758620689655
1179,gaussian_noise,mild,10.0,912,985,598,0.6557017543859649
1179,gaussian_noise,medium,25.0,912,1167,369,0.40460526315789475
1179,gaussian_noise,severe,50.0,912,1328,157,0.17214912280701755
1179,jpeg_compression,mild,50.0,912,930,619,0.6787280701754386
1179,jpeg_compression,medium,20.0,912,957,457,0.5010964912280702
1179,jpeg_compression,severe,5.0,912,1189,104,0.11403508771929824
1179,low_light,mild,0.6,912,301,270,0.8970099667774086
1179,low_light,medium,0.35,912,55,52,0.9454545454545454
1179,low_light,severe,0.15,912,0,0,0.0
1187,gaussian_noise,mild,10.0,1470,1471,1285,0.8741496598639455
1187,gaussian_noise,medium,25.0,1470,1472,1053,0.7163265306122449
1187,gaussian_noise,severe,50.0,1470,1472,751,0.5108843537414965
1187,jpeg_compression,mild,50.0,1470,1475,1221,0.8306122448979592
1187,jpeg_compression,medium,20.0,1470,1477,1039,0.7068027210884353
1187,jpeg_compression,severe,5.0,1470,1472,646,0.43945578231292515
1187,low_light,mild,0.6,1470,1384,1292,0.9335260115606936
1187,low_light,medium,0.35,1470,1102,984,0.8929219600725953
1187,low_light,severe,0.15,1470,172,145,0.8430232558139535
1201,gaussian_noise,mild,10.0,1500,1500,1271,0.8473333333333334
1201,gaussian_noise,medium,25.0,1500,1500,1080,0.72
1201,gaussian_noise,severe,50.0,1500,1500,761,0.5073333333333333
1201,jpeg_compression,mild,50.0,1500,1500,1244,0.8293333333333334
1201,jpeg_compression,medium,20.0,1500,1500,1115,0.7433333333333333
1201,jpeg_compression,severe,5.0,1500,1500,680,0.4533333333333333
1201,low_light,mild,0.6,1500,1465,1366,0.9324232081911262
1201,low_light,medium,0.35,1500,1150,962,0.8365217391304348
1201,low_light,severe,0.15,1500,35,33,0.9428571428571428
1211,gaussian_noise,mild,10.0,1464,1458,1193,0.8182441700960219
1211,gaussian_noise,medium,25.0,1464,1454,942,0.6478679504814305
1211,gaussian_noise,severe,50.0,1464,1468,642,0.4385245901639344
1211,jpeg_compression,mild,50.0,1464,1454,1137,0.7819807427785419
1211,jpeg_compression,medium,20.0,1464,1458,1019,0.6989026063100137
1211,jpeg_compression,severe,5.0,1464,1469,583,0.398224043715847
1211,low_light,mild,0.6,1464,1235,1062,0.8599190283400809
1211,low_light,medium,0.35,1464,556,529,0.9514388489208633
1211,low_light,severe,0.15,1464,18,18,1.0
1243,gaussian_noise,mild,10.0,1350,1354,1204,0.8918518518518519
1243,gaussian_noise,medium,25.0,1350,1355,1029,0.7622222222222222
1243,gaussian_noise,severe,50.0,1350,1397,778,0.5762962962962963
1243,jpeg_compression,mild,50.0,1350,1349,1121,0.8309859154929577
1243,jpeg_compression,medium,20.0,1350,1353,946,0.7007407407407408
1243,jpeg_compression,severe,5.0,1350,1359,622,0.46074074074074073
1243,low_light,mild,0.6,1350,1204,1113,0.9244186046511628
1243,low_light,medium,0.35,1350,954,808,0.8469601677148847
1243,low_light,severe,0.15,1350,155,135,0.8709677419354839
1272,gaussian_noise,mild,10.0,1479,1482,1172,0.7924273157538878
1272,gaussian_noise,medium,25.0,1479,1462,854,0.5841313269493844
1272,gaussian_noise,severe,50.0,1479,1472,500,0.33967391304347827
1272,jpeg_compression,mild,50.0,1479,1486,1128,0.7626774847870182
1272,jpeg_compression,medium,20.0,1479,1491,967,0.6538201487491548
1272,jpeg_compression,severe,5.0,1479,1490,458,0.3096686950642326
1272,low_light,mild,0.6,1479,1048,843,0.8043893129770993
1272,low_light,medium,0.35,1479,272,253,0.9301470588235294
1272,low_light,severe,0.15,1479,21,17,0.8095238095238095
1273,gaussian_noise,mild,10.0,1498,1500,1327,0.8858477970627503
1273,gaussian_noise,medium,25.0,1498,1497,1113,0.7434869739478958
1273,gaussian_noise,severe,50.0,1498,1493,844,0.565304755525787
1273,jpeg_compression,mild,50.0,1498,1495,1270,0.8494983277591973
1273,jpeg_compression,medium,20.0,1498,1496,1159,0.7747326203208557
1273,jpeg_compression,severe,5.0,1498,1500,776,0.5180240320427236
1273,low_light,mild,0.6,1498,1437,1315,0.9151009046624913
1273,low_light,medium,0.35,1498,1144,964,0.8426573426573427
1273,low_light,severe,0.15,1498,110,105,0.9545454545454546
1303,gaussian_noise,mild,10.0,1136,1138,834,0.7341549295774648
1303,gaussian_noise,medium,25.0,1136,1200,517,0.4551056338028169
1303,gaussian_noise,severe,50.0,1136,1313,215,0.1892605633802817
1303,jpeg_compression,mild,50.0,1136,1109,789,0.7114517583408476
1303,jpeg_compression,medium,20.0,1136,1119,655,0.5853440571939231
1303,jpeg_compression,severe,5.0,1136,982,179,0.18228105906313646
1303,low_light,mild,0.6,1136,607,538,0.886326194398682
1303,low_light,medium,0.35,1136,153,147,0.9607843137254902
1303,low_light,severe,0.15,1136,11,11,1.0
1305,gaussian_noise,mild,10.0,1408,1405,1146,0.8156583629893238
1305,gaussian_noise,medium,25.0,1408,1419,844,0.5994318181818182
1305,gaussian_noise,severe,50.0,1408,1427,506,0.359375
1305,jpeg_compression,mild,50.0,1408,1407,1067,0.7583511016346838
1305,jpeg_compression,medium,20.0,1408,1416,883,0.6271306818181818
1305,jpeg_compression,severe,5.0,1408,1443,496,0.3522727272727273
1305,low_light,mild,0.6,1408,1114,1003,0.900359066427289
1305,low_light,medium,0.35,1408,565,434,0.768141592920354
1305,low_light,severe,0.15,1408,16,16,1.0
1324,gaussian_noise,mild,10.0,1423,1425,1229,0.8636683063949403
1324,gaussian_noise,medium,25.0,1423,1419,925,0.6518675123326286
1324,gaussian_noise,severe,50.0,1423,1425,617,0.43359100491918484
1324,jpeg_compression,mild,50.0,1423,1429,1176,0.8264230498945889
1324,jpeg_compression,medium,20.0,1423,1434,1016,0.7139845397048489
1324,jpeg_compression,severe,5.0,1423,1436,566,0.3977512297962052
1324,low_light,mild,0.6,1423,1272,1135,0.8922955974842768
1324,low_light,medium,0.35,1423,897,737,0.8216276477146043
1324,low_light,severe,0.15,1423,221,189,0.8552036199095022
1368,gaussian_noise,mild,10.0,1394,1401,1206,0.8651362984218077
1368,gaussian_noise,medium,25.0,1394,1406,953,0.6836441893830703
1368,gaussian_noise,severe,50.0,1394,1408,569,0.4081779053084649
1368,jpeg_compression,mild,50.0,1394,1397,1178,0.8450502152080345
1368,jpeg_compression,medium,20.0,1394,1398,1001,0.7180774748923959
1368,jpeg_compression,severe,5.0,1394,1396,482,0.34576757532281205
1368,low_light,mild,0.6,1394,1272,1169,0.9190251572327044
1368,low_light,medium,0.35,1394,949,810,0.8535300316122234
1368,low_light,severe,0.15,1394,65,52,0.8
1369,gaussian_noise,mild,10.0,1496,1500,1307,0.8736631016042781
1369,gaussian_noise,medium,25.0,1496,1500,1107,0.7399732620320856
1369,gaussian_noise,severe,50.0,1496,1497,806,0.5387700534759359
1369,jpeg_compression,mild,50.0,1496,1495,1218,0.8147157190635451
1369,jpeg_compression,medium,20.0,1496,1500,1084,0.7245989304812834
1369,jpeg_compression,severe,5.0,1496,1500,740,0.4946524064171123
1369,low_light,mild,0.6,1496,1442,1345,0.9327323162274619
1369,low_light,medium,0.35,1496,1120,986,0.8803571428571428
1369,low_light,severe,0.15,1496,122,114,0.9344262295081968
1385,gaussian_noise,mild,10.0,1443,1435,1138,0.7930313588850174
1385,gaussian_noise,medium,25.0,1443,1443,845,0.5855855855855856
1385,gaussian_noise,severe,50.0,1443,1460,508,0.352044352044352
1385,jpeg_compression,mild,50.0,1443,1441,1080,0.7494795281054824
1385,jpeg_compression,medium,20.0,1443,1433,936,0.6531751570132589
1385,jpeg_compression,severe,5.0,1443,1455,481,0.3333333333333333
1385,low_light,mild,0.6,1443,981,818,0.8338430173292558
1385,low_light,medium,0.35,1443,208,195,0.9375
1385,low_light,severe,0.15,1443,2,2,1.0
1390,gaussian_noise,mild,10.0,1412,1415,1203,0.8519830028328612
1390,gaussian_noise,medium,25.0,1412,1415,995,0.7046742209631728
1390,gaussian_noise,severe,50.0,1412,1423,719,0.5092067988668555
1390,jpeg_compression,mild,50.0,1412,1407,1213,0.8621179815209666
